cycle_window_midpoint,lower_5th_percentile_ohm,upper_95th_percentile_ohm,n_raw_points
1445,1.48,1.88,159
1455,1.48,1.88,159
1465,1.48,1.8809999999999998,159
1475,1.48,1.88,159
1485,1.4899999999999998,1.88,159
1495,1.48,1.88,159
1505,1.48,1.88,159
1515,1.4899999999999998,1.88,159
1525,1.48,1.88,159
1535,1.4889999999999999,1.88,159
1545,1.4889999999999999,1.88,159
1555,1.4899999999999998,1.88,159
1565,1.4899999999999998,1.88,159
1575,1.48,1.8809999999999998,159
1585,1.48,1.87,159
1595,1.48,1.87,159
1605,1.48,1.88,159
1615,1.48,1.88,159
1625,1.48,1.88,159
1635,1.48,1.88,159
1645,1.48,1.88,159
1655,1.48,1.88,159
1665,1.48,1.88,159
1675,1.4899999999999998,1.88,159
1685,1.4899999999999998,1.871,159
1695,1.4899999999999998,1.87,159
1705,1.4899999999999998,1.88,159
1715,1.4899999999999998,1.87,159
1725,1.48,1.88,159
1735,1.48,1.87,159
1745,1.48,1.88,159
1755,1.479,1.88,159
1765,1.48,1.87,159
1775,1.48,1.87,159
1785,1.48,1.88,159
1795,1.48,1.87,159
1805,1.48,1.871,159
1815,1.48,1.87,159
1825,1.4889999999999999,1.88,159
1835,1.4889999999999999,1.88,159
1845,1.4889999999999999,1.88,159
1855,1.4899999999999998,1.871,159
1865,1.4899999999999998,1.88,159
1875,1.4899999999999998,1.871,159
1885,1.48,1.88,159
1895,1.48,1.87,159
1905,1.48,1.87,159
1915,1.48,1.871,159
1925,1.48,1.87,159
1935,1.48,1.87,159
1945,1.48,1.87,159
1955,1.48,1.88,159
1965,1.4899999999999998,1.871,159
1975,1.4899999999999998,1.88,159
1985,1.4899999999999998,1.88,159
1995,1.49,1.88,158
