cutoff,endpoint,positive_trajectory,negative_trajectory,positive_role_score,negative_role_score,positive_node_popularity,negative_node_popularity,role_agnostic_win,typed_structure_win,nested_structure_plus_evidence_win
2018,closed_in_future,Ag/AgNW -> electrode -> current signal -> health monitoring,CNT -> pressure sensor -> voltage output -> wearable/flexible electronics,0.983097658,0.9827662395,0.9785682722,0.979341582,1.0,1.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> current signal -> health monitoring,graphene/rGO -> electrode -> capacitance change -> environmental monitoring,0.983097658,0.9836500221,0.9785682722,0.9797834733,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> current signal -> health monitoring,graphene/rGO -> tactile sensor -> resistance/conductivity change -> motion monitoring,0.983097658,0.9814405656,0.9785682722,0.9781263809,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> current signal -> health monitoring,ZnO/oxide -> electrode -> resistance/conductivity change -> health monitoring,0.983097658,0.9809986743,0.9785682722,0.9779606717,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> current signal -> health monitoring,silicone/elastomer -> strain sensor -> resistance/conductivity change -> wearable/flexible electronics,0.983097658,0.9855280601,0.9785682722,0.9795072912,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> frequency/wavelength signal -> wearable/flexible electronics,Au -> capacitive sensor -> resistance/conductivity change -> health monitoring,0.9153225806,0.9162063632,0.9383561644,0.9349867433,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> frequency/wavelength signal -> wearable/flexible electronics,graphene/rGO -> electrode -> voltage output -> portable electronics,0.9153225806,0.9134997791,0.9383561644,0.9416703491,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> frequency/wavelength signal -> wearable/flexible electronics,graphene/rGO -> temperature sensor -> resistance/conductivity change -> self-powered/energy storage,0.9153225806,0.9169244366,0.9383561644,0.942333186,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> frequency/wavelength signal -> wearable/flexible electronics,Au -> strain sensor -> resistance/conductivity change -> HMI,0.9153225806,0.9183605833,0.9383561644,0.9412284578,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> frequency/wavelength signal -> wearable/flexible electronics,Au -> strain sensor -> current signal -> motion monitoring,0.9153225806,0.9100198851,0.9383561644,0.9402342024,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> impedance signal -> wireless/IoT,textile/yarn/fabric -> gas/chemical sensor -> frequency/wavelength signal -> environmental monitoring,0.9359257623,0.9286345559,0.7032699956,0.7190676094,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> impedance signal -> wireless/IoT,textile/yarn/fabric -> piezoelectric sensor -> voltage output -> self-powered/energy storage,0.9359257623,0.9263146266,0.7032699956,0.7248674326,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> impedance signal -> wireless/IoT,textile/yarn/fabric -> capacitive sensor -> mechanical deformation -> motion monitoring,0.9359257623,0.9070371189,0.7032699956,0.7070260716,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> impedance signal -> wireless/IoT,textile/yarn/fabric -> wearable/e-skin -> physiological signal -> wearable/flexible electronics,0.9359257623,0.9089703933,0.7032699956,0.7100088378,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> impedance signal -> wireless/IoT,PPy/PANI -> resistive sensor -> resistance/conductivity change -> motion monitoring,0.9359257623,0.9330534688,0.7032699956,0.7348652232,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> mechanical deformation -> wearable/flexible electronics,textile/yarn/fabric -> gas/chemical sensor -> resistance/conductivity change -> self-powered/energy storage,0.9153225806,0.9137207247,0.9586831639,0.9601193106,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> mechanical deformation -> wearable/flexible electronics,Ag/AgNW -> electrode -> capacitance change -> environmental monitoring,0.9153225806,0.9145492709,0.9586831639,0.9611135661,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> mechanical deformation -> wearable/flexible electronics,textile/yarn/fabric -> electrode -> mechanical deformation -> health monitoring,0.9153225806,0.916040654,0.9586831639,0.9616659302,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> mechanical deformation -> wearable/flexible electronics,graphene/rGO -> resistive sensor -> voltage output -> wearable/flexible electronics,0.9153225806,0.9123950508,0.9586831639,0.9575784357,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> mechanical deformation -> wearable/flexible electronics,Ag/AgNW -> strain sensor -> mechanical deformation -> wearable/flexible electronics,0.9153225806,0.9166482545,0.9586831639,0.9559213433,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> resistance/conductivity change -> portable electronics,graphene/rGO -> electrode -> optical/fluorescence -> wearable/flexible electronics,0.9713875387,0.9716084843,0.9744807777,0.9729341582,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> resistance/conductivity change -> portable electronics,Ag/AgNW -> resistive sensor -> resistance/conductivity change -> health monitoring,0.9713875387,0.9724922669,0.9744807777,0.9733760495,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> resistance/conductivity change -> portable electronics,textile/yarn/fabric -> gas/chemical sensor -> resistance/conductivity change -> wireless/IoT,0.9713875387,0.9709456474,0.9744807777,0.9726027397,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> resistance/conductivity change -> portable electronics,Ag/AgNW -> strain sensor -> current signal -> health monitoring,0.9713875387,0.9712770658,0.9744807777,0.9769111798,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> resistance/conductivity change -> portable electronics,textile/yarn/fabric -> tactile sensor -> resistance/conductivity change -> motion monitoring,0.9713875387,0.969288555,0.9744807777,0.9738731772,1.0,0.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> voltage output -> HMI,textile/yarn/fabric -> electrode -> optical/fluorescence -> environmental monitoring,0.8791979673,0.8789217852,0.8980335837,0.8951612903,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> voltage output -> HMI,textile/yarn/fabric -> temperature sensor -> resistance/conductivity change -> portable electronics,0.8791979673,0.8770437472,0.8980335837,0.8949403447,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> voltage output -> HMI,textile/yarn/fabric -> tactile sensor -> capacitance change -> health monitoring,0.8791979673,0.8810207689,0.8980335837,0.8934489616,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> voltage output -> HMI,textile/yarn/fabric -> pH sensor -> resistance/conductivity change -> motion monitoring,0.8791979673,0.8809102961,0.8980335837,0.8914052143,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> voltage output -> HMI,graphene/rGO -> triboelectric sensor -> resistance/conductivity change -> self-powered/energy storage,0.8791979673,0.8742819266,0.8980335837,0.894443217,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> voltage output -> portable electronics,graphene/rGO -> tactile sensor -> capacitance change -> health monitoring,0.9145492709,0.9140521432,0.9025629695,0.9054352629,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> voltage output -> portable electronics,PPy/PANI -> electrode -> voltage output -> wearable/flexible electronics,0.9145492709,0.9116217411,0.9025629695,0.9006849315,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> voltage output -> portable electronics,graphene/rGO -> temperature sensor -> resistance/conductivity change -> portable electronics,0.9145492709,0.9148806894,0.9025629695,0.9070923553,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> electrode -> voltage output -> portable electronics,textile/yarn/fabric -> resistive sensor -> current signal -> wearable/flexible electronics,0.9145492709,0.9103513036,0.9025629695,0.9033362793,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> electrode -> voltage output -> portable electronics,textile/yarn/fabric -> gas/chemical sensor -> mechanical deformation -> wearable/flexible electronics,0.9145492709,0.9191338931,0.9025629695,0.9019001326,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> current signal -> wearable/flexible electronics,PPy/PANI -> pressure sensor -> resistance/conductivity change -> wearable/flexible electronics,0.9583517455,0.9593460009,0.9387980557,0.9346000884,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> current signal -> wearable/flexible electronics,ZnO/oxide -> gas/chemical sensor -> resistance/conductivity change -> wearable/flexible electronics,0.9583517455,0.9544851966,0.9387980557,0.9371961997,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> current signal -> wearable/flexible electronics,textile/yarn/fabric -> strain sensor -> temperature/thermal signal -> wearable/flexible electronics,0.9583517455,0.9566946531,0.9387980557,0.9426646045,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> current signal -> wearable/flexible electronics,textile/yarn/fabric -> tactile sensor -> voltage output -> wearable/flexible electronics,0.9583517455,0.9560318162,0.9387980557,0.9428303137,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> current signal -> wearable/flexible electronics,graphene/rGO -> pH sensor -> resistance/conductivity change -> wearable/flexible electronics,0.9583517455,0.9597878922,0.9387980557,0.9438798056,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> frequency/wavelength signal -> wearable/flexible electronics,Cu/Ni -> pressure sensor -> mechanical deformation -> wearable/flexible electronics,0.7235969951,0.7259169244,0.8262262483,0.8265576668,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> frequency/wavelength signal -> wearable/flexible electronics,TPU/PU -> strain sensor -> voltage output -> wearable/flexible electronics,0.7235969951,0.721166593,0.8262262483,0.8233539549,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> frequency/wavelength signal -> wearable/flexible electronics,textile/yarn/fabric -> temperature sensor -> physiological signal -> motion monitoring,0.7235969951,0.7259169244,0.8262262483,0.8300927972,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> frequency/wavelength signal -> wearable/flexible electronics,graphene/rGO -> tactile sensor -> mechanical deformation -> wearable/flexible electronics,0.7235969951,0.7238731772,0.8262262483,0.8179407866,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> frequency/wavelength signal -> wearable/flexible electronics,PEDOT:PSS -> electrode -> physiological signal -> motion monitoring,0.7235969951,0.71459346,0.8262262483,0.8267786125,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> mechanical deformation -> wearable/flexible electronics,PDMS/Ecoflex -> pressure sensor -> resistance/conductivity change -> wireless/IoT,0.7525961114,0.7573464428,0.8689792311,0.8660517013,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> mechanical deformation -> wearable/flexible electronics,Ag/AgNW -> resistive sensor -> resistance/conductivity change -> self-powered/energy storage,0.7525961114,0.7597216085,0.8689792311,0.8708572691,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> mechanical deformation -> wearable/flexible electronics,CNT -> capacitive sensor -> resistance/conductivity change -> wireless/IoT,0.7525961114,0.7616548829,0.8689792311,0.8676535572,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> mechanical deformation -> wearable/flexible electronics,textile/yarn/fabric -> gas/chemical sensor -> optical/fluorescence -> health monitoring,0.7525961114,0.7522094565,0.8689792311,0.8566062749,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> mechanical deformation -> wearable/flexible electronics,Cu/Ni -> pressure sensor -> current signal -> motion monitoring,0.7525961114,0.7586721167,0.8689792311,0.8614118427,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> voltage output -> HMI,PDMS/Ecoflex -> strain sensor -> current signal -> environmental monitoring,0.3690344675,0.3717962881,0.7547503314,0.777894388,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> voltage output -> HMI,silicone/elastomer -> pressure sensor -> resistance/conductivity change -> self-powered/energy storage,0.3690344675,0.3898033584,0.7547503314,0.764748122,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> voltage output -> HMI,PDMS/Ecoflex -> electrode -> optical/fluorescence -> health monitoring,0.3690344675,0.3997459125,0.7547503314,0.7545846222,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> voltage output -> HMI,PEDOT:PSS -> strain sensor -> capacitance change -> self-powered/energy storage,0.3690344675,0.3982545294,0.7547503314,0.7580092797,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> gas/chemical sensor -> voltage output -> HMI,polymer/elastomer -> strain sensor -> capacitance change -> environmental monitoring,0.3690344675,0.3811864781,0.7547503314,0.7864007954,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> humidity sensor -> capacitance change -> wearable/flexible electronics,ionogel/ionic liquid -> electrode -> voltage output -> health monitoring,0.890024304,0.8931175431,0.8157313301,0.817057004,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> humidity sensor -> capacitance change -> wearable/flexible electronics,PDMS/Ecoflex -> pressure sensor -> resistance/conductivity change -> robotics/tactile,0.890024304,0.888146266,0.8157313301,0.8184379143,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> humidity sensor -> capacitance change -> wearable/flexible electronics,hydrogel -> pressure sensor -> resistance/conductivity change -> robotics/tactile,0.890024304,0.888146266,0.8157313301,0.8184379143,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> humidity sensor -> capacitance change -> wearable/flexible electronics,Ag/AgNW -> temperature sensor -> voltage output -> wireless/IoT,0.890024304,0.8895824127,0.8157313301,0.8086610694,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> humidity sensor -> capacitance change -> wearable/flexible electronics,textile/yarn/fabric -> electrode -> physiological signal -> HMI,0.890024304,0.8898033584,0.8157313301,0.8077772868,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> humidity sensor -> current signal -> environmental monitoring,liquid metal -> capacitive sensor -> resistance/conductivity change -> health monitoring,0.6517344233,0.6600198851,0.5880468405,0.5803137428,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> humidity sensor -> current signal -> environmental monitoring,CNT -> temperature sensor -> physiological signal -> wireless/IoT,0.6517344233,0.6644940345,0.5880468405,0.593349536,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> humidity sensor -> current signal -> environmental monitoring,textile/yarn/fabric -> biosensor/electrochemical -> impedance signal -> health monitoring,0.6517344233,0.6649359258,0.5880468405,0.5935152452,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> humidity sensor -> current signal -> environmental monitoring,ZnO/oxide -> electrode -> optical/fluorescence -> environmental monitoring,0.6517344233,0.6567057004,0.5880468405,0.5735196642,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> humidity sensor -> current signal -> environmental monitoring,PEDOT:PSS -> electrode -> capacitance change -> sweat/biomarker monitoring,0.6517344233,0.6692996023,0.5880468405,0.5846221829,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> piezoelectric sensor -> voltage output -> health monitoring,CNT -> tactile sensor -> capacitance change -> wearable/flexible electronics,0.9231109147,0.9245470614,0.8772646929,0.8733981441,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> piezoelectric sensor -> voltage output -> health monitoring,Cu/Ni -> electrode -> capacitance change -> wireless/IoT,0.9231109147,0.9226690234,0.8772646929,0.8724038886,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> piezoelectric sensor -> voltage output -> health monitoring,textile/yarn/fabric -> gas/chemical sensor -> current signal -> environmental monitoring,0.9231109147,0.927971719,0.8772646929,0.877817057,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> piezoelectric sensor -> voltage output -> health monitoring,PDMS/Ecoflex -> strain sensor -> capacitance change -> motion monitoring,0.9231109147,0.9236632788,0.8772646929,0.8826226248,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> piezoelectric sensor -> voltage output -> health monitoring,liquid metal -> electrode -> resistance/conductivity change -> motion monitoring,0.9231109147,0.9173110915,0.8772646929,0.8744476359,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> piezoelectric sensor -> voltage output -> wearable/flexible electronics,PPy/PANI -> strain sensor -> resistance/conductivity change -> environmental monitoring,0.9645382236,0.967410517,0.9048276624,0.9045514803,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> piezoelectric sensor -> voltage output -> wearable/flexible electronics,PPy/PANI -> gas/chemical sensor -> resistance/conductivity change -> wearable/flexible electronics,0.9645382236,0.9637649138,0.9048276624,0.9007954043,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> piezoelectric sensor -> voltage output -> wearable/flexible electronics,PEDOT:PSS -> electrode -> current signal -> health monitoring,0.9645382236,0.9561975254,0.9048276624,0.9055457357,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> piezoelectric sensor -> voltage output -> wearable/flexible electronics,graphene/rGO -> humidity sensor -> resistance/conductivity change -> environmental monitoring,0.9645382236,0.9656429518,0.9048276624,0.9130578878,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> piezoelectric sensor -> voltage output -> wearable/flexible electronics,textile/yarn/fabric -> capacitive sensor -> capacitance change -> wearable/flexible electronics,0.9645382236,0.9639858595,0.9048276624,0.9142730888,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> capacitance change -> HMI,PPy/PANI -> pressure sensor -> capacitance change -> wearable/flexible electronics,0.7582854618,0.7555236412,0.767565179,0.7735307114,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> capacitance change -> HMI,graphene/rGO -> tactile sensor -> voltage output -> self-powered/energy storage,0.7582854618,0.765687141,0.767565179,0.7690013257,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> capacitance change -> HMI,Ag/AgNW -> triboelectric sensor -> current signal -> motion monitoring,0.7582854618,0.7667918692,0.767565179,0.7686699072,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> capacitance change -> HMI,Ag/AgNW -> temperature sensor -> current signal -> environmental monitoring,0.7582854618,0.7573464428,0.767565179,0.7780600972,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> capacitance change -> HMI,CNT -> temperature sensor -> resistance/conductivity change -> sweat/biomarker monitoring,0.7582854618,0.7545293858,0.767565179,0.7582302254,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> capacitance change -> robotics/tactile,textile/yarn/fabric -> pressure sensor -> capacitance change -> portable electronics,0.852739726,0.854617764,0.8272205038,0.826447194,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> capacitance change -> robotics/tactile,CNT -> triboelectric sensor -> resistance/conductivity change -> self-powered/energy storage,0.852739726,0.8522425983,0.8272205038,0.8236853734,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> capacitance change -> robotics/tactile,Ag/AgNW -> electrode -> current signal -> portable electronics,0.852739726,0.8524083076,0.8272205038,0.8374944764,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> capacitance change -> robotics/tactile,PET/PI/PVA -> electrode -> voltage output -> health monitoring,0.852739726,0.8513588157,0.8272205038,0.817057004,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> capacitance change -> robotics/tactile,graphene/rGO -> electrode -> physiological signal -> HMI,0.852739726,0.863731772,0.8272205038,0.8266681396,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> resistance/conductivity change -> motion monitoring,CNT -> strain sensor -> resistance/conductivity change -> environmental monitoring,0.9979010163,0.9967962881,0.9950287229,0.9951391958,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> resistance/conductivity change -> motion monitoring,CNT -> gas/chemical sensor -> resistance/conductivity change -> wearable/flexible electronics,0.9979010163,0.9966858153,0.9950287229,0.9945868316,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> resistance/conductivity change -> motion monitoring,graphene/rGO -> electrode -> capacitance change -> health monitoring,0.9979010163,0.9964648696,0.9950287229,0.9948077773,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> resistance/conductivity change -> motion monitoring,textile/yarn/fabric -> electrode -> capacitance change -> wearable/flexible electronics,0.9979010163,0.9984533805,0.9950287229,0.9961334512,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> resistance/conductivity change -> motion monitoring,CNT -> pressure sensor -> resistance/conductivity change -> motion monitoring,0.9979010163,0.9975695979,0.9950287229,0.9927087936,1.0,1.0,0.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> resistance/conductivity change -> wireless/IoT,textile/yarn/fabric -> tactile sensor -> resistance/conductivity change -> motion monitoring,0.9695095007,0.969288555,0.9745912506,0.9738731772,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> pressure sensor -> resistance/conductivity change -> wireless/IoT,Cu/Ni -> strain sensor -> voltage output -> health monitoring,0.9695095007,0.9697304463,0.9745912506,0.9728236854,0.0,1.0,1.0
