paper_id,mechanism_id,title,year,review,material,sensor,signal,system,core,trajectory,validation_level,strong_validation_marker,weak_time_only_marker,L3plus,L4,period,metadata_review,material_family,sensor_family,signal_family,system_family,mode,mask
P_MS3T_004037,MO_005,Flexible carbon cloth electrode: pioneering the future of electrochemical sensing devices,2025,0,Au,biosensor/electrochemical,performance metric,wearable/flexible electronics,biosensor/electrochemical -> performance metric -> wearable/flexible electronics,Au -> biosensor/electrochemical -> performance metric -> wearable/flexible electronics,4,1,0,1,1,2022-25,1,metal,gas/chemical,other,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
DL1234_0049_10.1016_j.compscitech.2023.110309,MO_001,"An ultrasensitive flexible strain sensor based on CNC/CNTs/MXene/TPU fibrous mat for human motion, sound and visually personalized rehabilitation training monitoring",2023,0,MXene,strain sensor,resistance/conductivity change,rehabilitation,strain sensor -> resistance/conductivity change -> rehabilitation,MXene -> strain sensor -> resistance/conductivity change -> rehabilitation,4,0,0,1,1,2022-25,0,carbon,mechanical,resistance/conductance,other,Higher-order recombination,"(0, 0, 0)"
DL1234_0125_10.1002_adhm.202202461,MO_001,Towards Real-time Blood Pressure Monitoring via High-Fidelity Iontronic Tonometric Sensors with High Sensitivity and Large Dynamic Ranges,2022,0,PVDF,capacitive sensor,capacitance change,wearable/flexible electronics,capacitive sensor -> capacitance change -> wearable/flexible electronics,PVDF -> capacitive sensor -> capacitance change -> wearable/flexible electronics,4,0,0,1,1,2022-25,0,elastomer/polymer,electrical,capacitance,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
DL1234_0128_10.1002_adhm.202504778,MO_001,A Wearable Multimodal Sensor for Simultaneous and Co-Located Muscle Electrophysiological and Mechanical Monitoring,2025,0,PVDF,pressure sensor,capacitance change,rehabilitation,pressure sensor -> capacitance change -> rehabilitation,PVDF -> pressure sensor -> capacitance change -> rehabilitation,4,0,1,1,1,2022-25,0,elastomer/polymer,mechanical,capacitance,other,Higher-order recombination,"(0, 0, 0)"
DL1234_0157_10.1016_j.bios.2024.116790,MO_001,Enhancing cardiovascular health monitoring: Simultaneous multi-artery cardiac markers recording with flexible and bio-compatible AlN piezoelectric sensors,2024,0,polymer/elastomer,piezoelectric sensor,voltage output,health monitoring,piezoelectric sensor -> voltage output -> health monitoring,polymer/elastomer -> piezoelectric sensor -> voltage output -> health monitoring,4,0,0,1,1,2022-25,0,elastomer/polymer,self-powered,voltage,healthcare,Higher-order recombination,"(0, 0, 0)"
DL1234_0198_10.1016_j.matt.2024.10.003,MO_004,Graphene-modified hydrogels for bioelectronic interface,2024,0,graphene/rGO,strain sensor,resistance/conductivity change,HMI,strain sensor -> resistance/conductivity change -> HMI,graphene/rGO -> strain sensor -> resistance/conductivity change -> HMI,4,0,1,1,1,2022-25,1,carbon,mechanical,resistance/conductance,other,Higher-order recombination,"(0, 0, 0)"
DL1234_0213_10.1016_j.cej.2022.139898,MO_001,"Smart wearable band-aid integrated with high-performance micro-supercapacitor, humidity and pressure sensor for multifunctional monitoring",2022,0,cellulose/cotton/silk,electrode,capacitance change,wearable/flexible electronics,electrode -> capacitance change -> wearable/flexible electronics,cellulose/cotton/silk -> electrode -> capacitance change -> wearable/flexible electronics,4,0,1,1,1,2022-25,0,textile/fibre,bio/electrochemical,capacitance,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
DL1234_0226_10.1002_adma.202301627,MO_001,Clinical Validation of a Wearable Piezoelectric Blood-Pressure Sensor for Continuous Health Monitoring,2023,0,PDMS/Ecoflex,pressure sensor,physiological signal,wireless/IoT,pressure sensor -> physiological signal -> wireless/IoT,PDMS/Ecoflex -> pressure sensor -> physiological signal -> wireless/IoT,4,0,0,1,1,2022-25,0,elastomer/polymer,mechanical,other,interface/readout,Higher-order recombination,"(0, 0, 0)"
DL1234_0237_10.1016_j.cej.2022.139060,MO_001,Electrospun nanofiber based TENGs for wearable electronics and self-powered sensing,2022,0,MXene,triboelectric sensor,voltage output,health monitoring,triboelectric sensor -> voltage output -> health monitoring,MXene -> triboelectric sensor -> voltage output -> health monitoring,4,0,0,1,1,2022-25,1,carbon,self-powered,voltage,healthcare,Higher-order recombination,"(0, 0, 0)"
DL1234_0261_10.1002_adhm.202202673,MO_001,"A Triboelectric Nanocomposite for Sterile Sensing, Energy Harvesting, and Haptic Diagnostics in Interventional Procedures from Surgical Gloves",2022,0,PVDF,triboelectric sensor,current signal,self-powered/energy storage,triboelectric sensor -> current signal -> self-powered/energy storage,PVDF -> triboelectric sensor -> current signal -> self-powered/energy storage,4,0,0,1,1,2022-25,0,elastomer/polymer,self-powered,current,energy/self-powered,Higher-order recombination,"(0, 0, 0)"
DL1234_0276_10.1016_j.snb.2022.133105,MO_001,High-performance flexible and stretchable self-powered surface engineered PDMS-TiO2 nanocomposite based humidity sensors driven by triboelectric nanogenerator with full sensing range,2022,0,ZnO/oxide,triboelectric sensor,voltage output,health monitoring,triboelectric sensor -> voltage output -> health monitoring,ZnO/oxide -> triboelectric sensor -> voltage output -> health monitoring,4,0,1,1,1,2022-25,0,ceramic/oxide,self-powered,voltage,healthcare,Higher-order recombination,"(0, 0, 0)"
DL1234_0280_10.1002_adhm.202301838,MO_001,Arteriosclerosis Assessment Based on Single-Point Fingertip Pulse Monitoring Using a Wearable Iontronic Sensor,2023,0,Au,pressure sensor,physiological signal,wearable/flexible electronics,pressure sensor -> physiological signal -> wearable/flexible electronics,Au -> pressure sensor -> physiological signal -> wearable/flexible electronics,4,0,0,1,1,2022-25,0,metal,mechanical,other,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
DL456_0056_10.1002_adma.202313743,MO_001,Wearable Aptalyzer Integrates Microneedle and Electrochemical Sensing for In Vivo Monitoring of Glucose and Lactate in Live Animals,2024,0,hydrogel,gas/chemical sensor,current signal,sweat/biomarker monitoring,gas/chemical sensor -> current signal -> sweat/biomarker monitoring,hydrogel -> gas/chemical sensor -> current signal -> sweat/biomarker monitoring,4,0,0,1,1,2022-25,0,hydrogel/organogel,gas/chemical,current,other,Higher-order recombination,"(0, 0, 0)"
DL456_0131_10.1016_j.nanoen.2024.109781,MO_001,Sustainable graphene production for solution-processed microsupercapacitors and multipurpose flexible electronics,2024,0,carbon black,strain sensor,resistance/conductivity change,health monitoring,strain sensor -> resistance/conductivity change -> health monitoring,carbon black -> strain sensor -> resistance/conductivity change -> health monitoring,4,0,0,1,1,2022-25,0,carbon,mechanical,resistance/conductance,healthcare,Higher-order recombination,"(0, 0, 0)"
DL456_0150_nn-2022-11267f.R2_Proof_hi,MO_001,Skin-interfaced Superhydrophobic Insensible Sweat Sensors for Evaluating Body Thermoregulation and Skin Barrier Functions,2022,0,MXene,humidity sensor,resistance/conductivity change,HMI,humidity sensor -> resistance/conductivity change -> HMI,MXene -> humidity sensor -> resistance/conductivity change -> HMI,4,0,0,1,1,2022-25,0,carbon,humidity/moisture,resistance/conductance,other,Higher-order recombination,"(0, 0, 0)"
HI36_0024_10_1021_acsnano_2c12385,MO_001,"Bioinspired Stabilization of Amorphous Calcium Carbonate by Carboxylated Nanocellulose Enables Mechanically Robust, Healable, and Sensing Biocomposites",2023,0,cellulose/cotton/silk,humidity sensor,current signal,health monitoring,humidity sensor -> current signal -> health monitoring,cellulose/cotton/silk -> humidity sensor -> current signal -> health monitoring,4,0,1,1,1,2022-25,0,textile/fibre,humidity/moisture,current,healthcare,Higher-order recombination,"(0, 0, 0)"
HI36_0025_10_1002_adma_202408478,MO_001,"A Full‐Process, Fine‐Grained, and Quantitative Rehabilitation Assessment Platform Enabled by On‐Skin Sensors and Multi‐Task Gait Transformer Model",2024,0,PDMS/Ecoflex,triboelectric sensor,voltage output,rehabilitation,triboelectric sensor -> voltage output -> rehabilitation,PDMS/Ecoflex -> triboelectric sensor -> voltage output -> rehabilitation,4,0,0,1,1,2022-25,0,elastomer/polymer,self-powered,voltage,other,Higher-order recombination,"(0, 0, 0)"
HI_LOCAL_0020,MO_001,Influence of enzyme immobilization and skin-sensor interface on non-invasive glucose determination from interstitial fluid obtained by magnetohydrodynamic extraction,2022,0,hydrogel,biosensor/electrochemical,current signal,wearable/flexible electronics,biosensor/electrochemical -> current signal -> wearable/flexible electronics,hydrogel -> biosensor/electrochemical -> current signal -> wearable/flexible electronics,4,0,1,1,1,2022-25,0,hydrogel/organogel,gas/chemical,current,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
HI_LOCAL_0022,MO_001,Smartphone-based 3D-printed electrochemiluminescence enzyme biosensor for reagentless glucose quantification in real matrices,2023,0,carbon black,electrode,chemical signal,sweat/biomarker monitoring,electrode -> chemical signal -> sweat/biomarker monitoring,carbon black -> electrode -> chemical signal -> sweat/biomarker monitoring,4,0,1,1,1,2022-25,0,carbon,bio/electrochemical,other,other,Multi-layer novelty,"(1, 1, 0)"
HI_LOCAL_0024,MO_001,Capacitive immunosensing at gold nanoparticle-decorated reduced graphene oxide electrodes fabricated by one-step laser nanostructuration,2024,0,graphene/rGO,capacitive sensor,capacitance change,sweat/biomarker monitoring,capacitive sensor -> capacitance change -> sweat/biomarker monitoring,graphene/rGO -> capacitive sensor -> capacitance change -> sweat/biomarker monitoring,4,0,0,1,1,2022-25,0,carbon,electrical,capacitance,other,Material implementation,"(1, 0, 0)"
HI_LOCAL_0040,MO_001,"Room-temperature, self-powered hydrogel-based flexible chemosensors for nitrogen dioxide detection enabled by zinc-air batteries",2025,0,hydrogel,gas/chemical sensor,current signal,health monitoring,gas/chemical sensor -> current signal -> health monitoring,hydrogel -> gas/chemical sensor -> current signal -> health monitoring,4,0,1,1,1,2022-25,0,hydrogel/organogel,gas/chemical,current,healthcare,Higher-order recombination,"(0, 0, 0)"
HI_LOCAL_0095,MO_001,Electrospinning and electrospraying synergism: Twins-tech collaboration across dimensions,2024,0,liquid metal,electrode,resistance/conductivity change,wearable/flexible electronics,electrode -> resistance/conductivity change -> wearable/flexible electronics,liquid metal -> electrode -> resistance/conductivity change -> wearable/flexible electronics,4,0,1,1,1,2022-25,1,metal,bio/electrochemical,resistance/conductance,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
HI_LOCAL_0095,MO_002,Electrospinning and electrospraying synergism: Twins-tech collaboration across dimensions,2024,0,CNT,triboelectric sensor,energy output,health monitoring,triboelectric sensor -> energy output -> health monitoring,CNT -> triboelectric sensor -> energy output -> health monitoring,4,0,1,1,1,2022-25,1,carbon,self-powered,other,healthcare,Multi-layer novelty,"(0, 1, 1)"
HI_LOCAL_0095,MO_003,Electrospinning and electrospraying synergism: Twins-tech collaboration across dimensions,2024,0,PVDF,piezoelectric sensor,voltage output,self-powered/energy storage,piezoelectric sensor -> voltage output -> self-powered/energy storage,PVDF -> piezoelectric sensor -> voltage output -> self-powered/energy storage,4,0,1,1,1,2022-25,1,elastomer/polymer,self-powered,voltage,energy/self-powered,Higher-order recombination,"(0, 0, 0)"
HI_RETRY_10_1002_adma_202300184,MO_010,The Nanozyme Revolution: Enhancing the Performance of Medical Biosensing Platforms,2023,0,Au,temperature sensor,optical/fluorescence,sweat/biomarker monitoring,temperature sensor -> optical/fluorescence -> sweat/biomarker monitoring,Au -> temperature sensor -> optical/fluorescence -> sweat/biomarker monitoring,4,0,0,1,1,2022-25,1,metal,thermal,frequency/wavelength,other,Higher-order recombination,"(0, 0, 0)"
HI_RETRY_10_1002_adma_202306679,MO_001,A Conformable Organic Electronic Device for Monitoring Epithelial Integrity at the Air Liquid Interface,2023,0,Au,electrode,resistance/conductivity change,HMI,electrode -> resistance/conductivity change -> HMI,Au -> electrode -> resistance/conductivity change -> HMI,4,0,0,1,1,2022-25,0,metal,bio/electrochemical,resistance/conductance,other,Higher-order recombination,"(0, 0, 0)"
HI_RETRY_10_1002_adma_202407925,MO_001,Fatigue‐Resistant Mechanoresponsive Color‐Changing Hydrogels for Vision‐Based Tactile Robots,2024,0,hydrogel,tactile sensor,optical/fluorescence,robotics/tactile,tactile sensor -> optical/fluorescence -> robotics/tactile,hydrogel -> tactile sensor -> optical/fluorescence -> robotics/tactile,4,0,1,1,1,2022-25,0,hydrogel/organogel,mechanical,frequency/wavelength,motion/human activity,Higher-order recombination,"(0, 0, 0)"
HI_RETRY_10_1002_adma_202411173,MO_001,Bacteriophage‐Activated DNAzyme Hydrogels Combined with Machine Learning Enable Point‐of‐Use Colorimetric Detection of Escherichia coli,2024,0,hydrogel,biosensor/electrochemical,optical/fluorescence,portable electronics,biosensor/electrochemical -> optical/fluorescence -> portable electronics,hydrogel -> biosensor/electrochemical -> optical/fluorescence -> portable electronics,4,0,0,1,1,2022-25,0,hydrogel/organogel,gas/chemical,frequency/wavelength,other,Higher-order recombination,"(0, 0, 0)"
HI_RETRY_10_1002_smll_202205281,MO_001,SARS‐CoV‐2 Virus Detection Via a Polymeric Nanochannel‐Based Electrochemical Biosensor,2022,0,Au,gas/chemical sensor,current signal,sweat/biomarker monitoring,gas/chemical sensor -> current signal -> sweat/biomarker monitoring,Au -> gas/chemical sensor -> current signal -> sweat/biomarker monitoring,4,0,0,1,1,2022-25,0,metal,gas/chemical,current,other,Higher-order recombination,"(0, 0, 0)"
HI_RETRY_10_1002_smll_202511542,MO_001,Hydrogel Microneedle Array‐Based Transdermal Dressing System for Multiplexed Assessment and Intelligent Therapy of Chronic Wounds,2025,0,graphene/rGO,pH sensor,resistance/conductivity change,rehabilitation,pH sensor -> resistance/conductivity change -> rehabilitation,graphene/rGO -> pH sensor -> resistance/conductivity change -> rehabilitation,4,0,0,1,1,2022-25,0,carbon,gas/chemical,resistance/conductance,other,Higher-order recombination,"(0, 0, 0)"
HI_RETRY_10_1021_acsnano_3c11346,MO_001,Harnessing HfO2 Nanoparticles for Wearable Tumor Monitoring and Sonodynamic Therapy in Advancing Cancer Care,2024,0,TPU/PU,strain sensor,impedance signal,wireless/IoT,strain sensor -> impedance signal -> wireless/IoT,TPU/PU -> strain sensor -> impedance signal -> wireless/IoT,4,0,0,1,1,2022-25,0,other,mechanical,resistance/conductance,interface/readout,Higher-order recombination,"(0, 0, 0)"
HI_RETRY_10_1021_acsnano_4c06527,MO_001,Insertable Glucose Sensor Using a Compact and Cost-Effective Phosphorescence Lifetime Imager and Machine Learning,2024,0,hydrogel,biosensor/electrochemical,chemical signal,wearable/flexible electronics,biosensor/electrochemical -> chemical signal -> wearable/flexible electronics,hydrogel -> biosensor/electrochemical -> chemical signal -> wearable/flexible electronics,4,0,1,1,1,2022-25,0,hydrogel/organogel,gas/chemical,other,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_000415,MO_001,"Polyethyleneimine (PEI)-treated multifunctional textile triboelectric nanogenerator: A scalable and cost-effective solution for self-powered electronics, energy harvesting and physiological movement monitoring",2025,0,Cu/Ni,pressure sensor,voltage output,health monitoring,pressure sensor -> voltage output -> health monitoring,Cu/Ni -> pressure sensor -> voltage output -> health monitoring,4,0,1,1,1,2022-25,0,metal,mechanical,voltage,healthcare,Higher-order recombination,"(0, 0, 0)"
P_000429,MO_001,A Front-End Amplifier With Fast Reset Scheme for Capacitive Heart Rate Monitoring,2023,0,textile/yarn/fabric,capacitive sensor,physiological signal,wireless/IoT,capacitive sensor -> physiological signal -> wireless/IoT,textile/yarn/fabric -> capacitive sensor -> physiological signal -> wireless/IoT,4,0,1,1,1,2022-25,0,textile/fibre,electrical,other,interface/readout,Higher-order recombination,"(0, 0, 0)"
P_000512,MO_001,Unlocking Novel Functionality: Pseudocapacitive Sensing in MXene-Based Flexible Supercapacitors,2024,0,MXene,capacitive sensor,resistance/conductivity change,motion monitoring,capacitive sensor -> resistance/conductivity change -> motion monitoring,MXene -> capacitive sensor -> resistance/conductivity change -> motion monitoring,4,0,1,1,1,2022-25,0,carbon,electrical,resistance/conductance,motion/human activity,Material implementation,"(1, 0, 0)"
P_000888,MO_001,Self-powered triboelectric nanogenerator sensor for detecting humidity level and monitoring ethanol variation in a simulated exhalation environment,2024,0,Au,resistive sensor,resistance/conductivity change,self-powered/energy storage,resistive sensor -> resistance/conductivity change -> self-powered/energy storage,Au -> resistive sensor -> resistance/conductivity change -> self-powered/energy storage,4,0,1,1,1,2022-25,0,metal,electrical,resistance/conductance,energy/self-powered,Higher-order recombination,"(0, 0, 0)"
P_000942,MO_001,Soft Capacitive Pressure Sensor With Enhanced Sensitivity Assisted by ZnO NW Interlayers and Airgap,2022,0,Au,pressure sensor,capacitance change,portable electronics,pressure sensor -> capacitance change -> portable electronics,Au -> pressure sensor -> capacitance change -> portable electronics,4,0,1,1,1,2022-25,0,metal,mechanical,capacitance,other,Higher-order recombination,"(0, 0, 0)"
P_001181,MO_001,Ultralow-cost piezoelectric sensor constructed by thermal compression bonding for long-term biomechanical signal monitoring in chronic mental disorders,2024,0,Cu/Ni,temperature sensor,voltage output,motion monitoring,temperature sensor -> voltage output -> motion monitoring,Cu/Ni -> temperature sensor -> voltage output -> motion monitoring,4,0,0,1,1,2022-25,0,metal,thermal,voltage,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_001202,MO_001,Wearable Plasmonic Sensors Engineered via Active-Site Maximization of TiVC MXene for Universal Physiological Monitoring at the Molecular Level,2024,0,MXene,SERS substrate,optical/fluorescence,wearable/flexible electronics,SERS substrate -> optical/fluorescence -> wearable/flexible electronics,MXene -> SERS substrate -> optical/fluorescence -> wearable/flexible electronics,4,0,0,1,1,2022-25,0,carbon,other,frequency/wavelength,wearable/e-skin,Material implementation,"(1, 0, 0)"
