paper_id,mechanism_id,title,year,review,material,sensor,signal,system,core,trajectory,validation_level,strong_validation_marker,weak_time_only_marker,L3plus,L4,period
P_002578,MO_001,Piezotronic Sensor for Bimodal Monitoring of Achilles Tendon Behavior,2025,0,Ag/AgNW,piezoelectric sensor,resistance/conductivity change,wearable/flexible electronics,piezoelectric sensor -> resistance/conductivity change -> wearable/flexible electronics,Ag/AgNW -> piezoelectric sensor -> resistance/conductivity change -> wearable/flexible electronics,4,1,0,1,1,2022-25
P_003020,MO_001,MXene Hybridized Polymer with Enhanced Electromagnetic Energy Harvest for Sensitized Microwave Actuation and Self-Powered Motion Sensing,2024,0,MXene,piezoelectric sensor,voltage output,motion monitoring,piezoelectric sensor -> voltage output -> motion monitoring,MXene -> piezoelectric sensor -> voltage output -> motion monitoring,4,1,0,1,1,2022-25
P_003296,MO_001,Laser fabrication of Ti stent and facile MEMS flow sensor integration for implantable respiration monitoring,2025,0,Au,temperature sensor,voltage output,health monitoring,temperature sensor -> voltage output -> health monitoring,Au -> temperature sensor -> voltage output -> health monitoring,4,1,0,1,1,2022-25
P_005086,MO_001,AI-Driven Smart Sportswear for Real-Time Fitness Monitoring Using Textile Strain Sensors,2025,0,graphene/rGO,strain sensor,resistance/conductivity change,wireless/IoT,strain sensor -> resistance/conductivity change -> wireless/IoT,graphene/rGO -> strain sensor -> resistance/conductivity change -> wireless/IoT,4,1,0,1,1,2022-25
P_005521,MO_001,Estimating gait parameters from sEMG signals using machine learning techniques under different power capacity of muscle,2025,0,Ag/AgNW,accelerometer/gyroscope,frequency/wavelength signal,health monitoring,accelerometer/gyroscope -> frequency/wavelength signal -> health monitoring,Ag/AgNW -> accelerometer/gyroscope -> frequency/wavelength signal -> health monitoring,4,1,0,1,1,2022-25
P_005616,MO_001,Cocoon-mimetic feature-matched interface for flexible system,2025,0,liquid metal,electrode,resistance/conductivity change,motion monitoring,electrode -> resistance/conductivity change -> motion monitoring,liquid metal -> electrode -> resistance/conductivity change -> motion monitoring,4,1,0,1,1,2022-25
P_006615,MO_001,Ultra-high performance wearable thermoelectric coolers with less materials,2019,0,Ag/AgNW,wearable/e-skin,temperature/thermal signal,wearable/flexible electronics,wearable/e-skin -> temperature/thermal signal -> wearable/flexible electronics,Ag/AgNW -> wearable/e-skin -> temperature/thermal signal -> wearable/flexible electronics,4,1,0,1,1,2018-21
P_008795,MO_001,Control of polymers’ amorphous-crystalline transition enables miniaturization and multifunctional integration for hydrogel bioelectronics,2024,0,graphene/rGO,fiber sensor,impedance signal,health monitoring,fiber sensor -> impedance signal -> health monitoring,graphene/rGO -> fiber sensor -> impedance signal -> health monitoring,4,1,0,1,1,2022-25
P_009206,MO_001,Smart and repeatable easy-repairing and self-sensing composites with enhanced mechanical performance for extended components life,2022,0,carbon fiber,resistive sensor,resistance/conductivity change,health monitoring,resistive sensor -> resistance/conductivity change -> health monitoring,carbon fiber -> resistive sensor -> resistance/conductivity change -> health monitoring,4,1,0,1,1,2022-25
P_015079,MO_001,Human sweat-based wearable glucose sensor on cotton fabric for real-time monitoring,2022,0,Cu/Ni,gas/chemical sensor,current signal,wearable/flexible electronics,gas/chemical sensor -> current signal -> wearable/flexible electronics,Cu/Ni -> gas/chemical sensor -> current signal -> wearable/flexible electronics,4,1,0,1,1,2022-25
P_016477,MO_002,A Dual-Mode Pressure and Temperature Sensor,2024,0,CNT,temperature sensor,resistance/conductivity change,wearable/flexible electronics,temperature sensor -> resistance/conductivity change -> wearable/flexible electronics,CNT -> temperature sensor -> resistance/conductivity change -> wearable/flexible electronics,4,1,0,1,1,2022-25
P_019026,MO_004,2D material-based sensing devices: an update,2023,0,MoS2/TMD,optical sensor,optical/fluorescence,health monitoring,optical sensor -> optical/fluorescence -> health monitoring,MoS2/TMD -> optical sensor -> optical/fluorescence -> health monitoring,4,1,0,1,1,2022-25
P_019534,MO_001,Wearables for running gait analysis: A study protocol,2023,0,textile/yarn/fabric,pressure sensor,frequency/wavelength signal,wearable/flexible electronics,pressure sensor -> frequency/wavelength signal -> wearable/flexible electronics,textile/yarn/fabric -> pressure sensor -> frequency/wavelength signal -> wearable/flexible electronics,4,1,0,1,1,2022-25
P_020641,MO_001,"MoSe <sub>2</sub> -based room temperature gas sensor with a sub-parts-per-billion limit for ammonia and <i>N</i> , <i>N</i> -dimethylformamide",2025,0,ZnO/oxide,resistive sensor,resistance/conductivity change,environmental monitoring,resistive sensor -> resistance/conductivity change -> environmental monitoring,ZnO/oxide -> resistive sensor -> resistance/conductivity change -> environmental monitoring,4,1,0,1,1,2022-25
P_023607,MO_001,Carbon-based electrochemical biosensors as diagnostic platforms for connected decentralized healthcare,2023,0,graphene/rGO,gas/chemical sensor,current signal,health monitoring,gas/chemical sensor -> current signal -> health monitoring,graphene/rGO -> gas/chemical sensor -> current signal -> health monitoring,4,1,0,1,1,2022-25
P_026374,MO_001,A non-enzymatic glucose sensor enabled by bioelectronic pH control,2019,0,Ag/AgNW,gas/chemical sensor,current signal,sweat/biomarker monitoring,gas/chemical sensor -> current signal -> sweat/biomarker monitoring,Ag/AgNW -> gas/chemical sensor -> current signal -> sweat/biomarker monitoring,4,1,0,1,1,2018-21
P_028182,MO_001,The Rover Environmental Monitoring Station Ground Temperature Sensor: A Pyrometer for Measuring Ground Temperature on Mars,2010,0,PET/PI/PVA,temperature sensor,resistance/conductivity change,environmental monitoring,temperature sensor -> resistance/conductivity change -> environmental monitoring,PET/PI/PVA -> temperature sensor -> resistance/conductivity change -> environmental monitoring,4,1,0,1,1,2010-17
P_028810,MO_001,Nacre-inspired MXene-based film for highly sensitive piezoresistive sensing over a broad sensing range,2024,0,MXene,pressure sensor,resistance/conductivity change,health monitoring,pressure sensor -> resistance/conductivity change -> health monitoring,MXene -> pressure sensor -> resistance/conductivity change -> health monitoring,4,1,0,1,1,2022-25
P_031989,MO_001,Magnetostrictive bi-perceptive flexible sensor for tracking bend and position of human and robot hand,2024,0,PET/PI/PVA,wearable/e-skin,voltage output,motion monitoring,wearable/e-skin -> voltage output -> motion monitoring,PET/PI/PVA -> wearable/e-skin -> voltage output -> motion monitoring,4,1,0,1,1,2022-25
P_034220,MO_001,"Electronic tongue: active channels, molecular sieves, receptors and arrays",2025,0,graphene/rGO,pH sensor,voltage output,health monitoring,pH sensor -> voltage output -> health monitoring,graphene/rGO -> pH sensor -> voltage output -> health monitoring,4,1,0,1,1,2022-25
P_039545,MO_001,Maskless formation of patterned leather-based conductive electrode for human-computer interaction application,2025,0,graphene/rGO,triboelectric sensor,voltage output,wearable/flexible electronics,triboelectric sensor -> voltage output -> wearable/flexible electronics,graphene/rGO -> triboelectric sensor -> voltage output -> wearable/flexible electronics,4,1,0,1,1,2022-25
P_069022,MO_001,Laccase-immobilized biochar as a unique host matrix for electrochemical detection of gallic acid: a sustainable engineering approach,2025,0,carbon fiber,electrode,physiological signal,environmental monitoring,electrode -> physiological signal -> environmental monitoring,carbon fiber -> electrode -> physiological signal -> environmental monitoring,4,1,0,1,1,2022-25
P_069971,MO_001,A WEARABLE SYSTEM FOR RESPIRATORY AND PACE MONITORING IN RUNNING ACTIVITY,2024,0,textile/yarn/fabric,strain sensor,mechanical deformation,wearable/flexible electronics,strain sensor -> mechanical deformation -> wearable/flexible electronics,textile/yarn/fabric -> strain sensor -> mechanical deformation -> wearable/flexible electronics,4,1,0,1,1,2022-25
P_083532,MO_001,Design and evaluation of a low-cost instrumented glove for hand function assessment,2012,0,nylon/polyester,resistive sensor,voltage output,motion monitoring,resistive sensor -> voltage output -> motion monitoring,nylon/polyester -> resistive sensor -> voltage output -> motion monitoring,4,1,0,1,1,2010-17
P_084738,MO_001,Concept for an irradiation experiment to test a laser-induced breakdown spectroscopy off-gas sensor for molten salt systems,2023,0,textile/yarn/fabric,fiber sensor,temperature/thermal signal,environmental monitoring,fiber sensor -> temperature/thermal signal -> environmental monitoring,textile/yarn/fabric -> fiber sensor -> temperature/thermal signal -> environmental monitoring,4,1,0,1,1,2022-25
P_086552,MO_002,"Advances in Paper-Based Ammonia Sensors in Environment: Sustainable Materials, Nanotechnology Integration, and Smart Analytical Platforms",2025,0,CNT,resistive sensor,resistance/conductivity change,wearable/flexible electronics,resistive sensor -> resistance/conductivity change -> wearable/flexible electronics,CNT -> resistive sensor -> resistance/conductivity change -> wearable/flexible electronics,4,1,0,1,1,2022-25
P_088405,MO_014,Using a Framework to augment Reusability in the Development of an Intelligent Tutoring System.,2021,0,ZnO/oxide,gas/chemical sensor,performance metric,environmental monitoring,gas/chemical sensor -> performance metric -> environmental monitoring,ZnO/oxide -> gas/chemical sensor -> performance metric -> environmental monitoring,4,1,0,1,1,2018-21
P_088661,MO_001,Portable and sensitive air pollution monitoring,2018,0,textile/yarn/fabric,fiber sensor,optical/fluorescence,wearable/flexible electronics,fiber sensor -> optical/fluorescence -> wearable/flexible electronics,textile/yarn/fabric -> fiber sensor -> optical/fluorescence -> wearable/flexible electronics,4,1,0,1,1,2018-21
P_089087,MO_001,Battery-less long-range wireless fluidic sensing system using flexible additive manufacturing ambient energy harvester and microfluidics,2024,0,Ag/AgNW,biosensor/electrochemical,resistance/conductivity change,self-powered/energy storage,biosensor/electrochemical -> resistance/conductivity change -> self-powered/energy storage,Ag/AgNW -> biosensor/electrochemical -> resistance/conductivity change -> self-powered/energy storage,4,1,0,1,1,2022-25
P_094227,MO_001,Investigating the effect of outsole configurations on rotational and translational traction using a mechanical prosthetic foot,2023,0,TPU/PU,pressure sensor,mechanical deformation,robotics/tactile,pressure sensor -> mechanical deformation -> robotics/tactile,TPU/PU -> pressure sensor -> mechanical deformation -> robotics/tactile,4,1,0,1,1,2022-25
P_095439,MO_001,A clinical comparison of a digital versus conventional design methodology for transtibial prosthetic interfaces,2024,0,silicone/elastomer,temperature sensor,temperature/thermal signal,HMI,temperature sensor -> temperature/thermal signal -> HMI,silicone/elastomer -> temperature sensor -> temperature/thermal signal -> HMI,4,1,0,1,1,2022-25
P_104340,MO_001,Real-Time Control of a Focus Tunable Lens for Presbyopia Correction Using Ciliary Muscle Biopotentials and Artificial Neural Networks,2025,0,Au,electrode,frequency/wavelength signal,wearable/flexible electronics,electrode -> frequency/wavelength signal -> wearable/flexible electronics,Au -> electrode -> frequency/wavelength signal -> wearable/flexible electronics,4,1,0,1,1,2022-25
P_MS3T_000238,MO_001,Sensitive and Flexible Polymeric Strain Sensor for Accurate Human Motion Monitoring,2018,0,PVDF,strain sensor,voltage output,robotics/tactile,strain sensor -> voltage output -> robotics/tactile,PVDF -> strain sensor -> voltage output -> robotics/tactile,4,1,0,1,1,2018-21
P_MS3T_000485,MO_001,Electro-spun nanofibers-based triboelectric nanogenerators in wearable electronics: status and perspectives,2025,0,Cu/Ni,triboelectric sensor,current signal,health monitoring,triboelectric sensor -> current signal -> health monitoring,Cu/Ni -> triboelectric sensor -> current signal -> health monitoring,4,1,0,1,1,2022-25
P_MS3T_000485,MO_014,Electro-spun nanofibers-based triboelectric nanogenerators in wearable electronics: status and perspectives,2025,0,PVDF,piezoelectric sensor,voltage output,wearable/flexible electronics,piezoelectric sensor -> voltage output -> wearable/flexible electronics,PVDF -> piezoelectric sensor -> voltage output -> wearable/flexible electronics,4,1,0,1,1,2022-25
P_MS3T_000485,MO_017,Electro-spun nanofibers-based triboelectric nanogenerators in wearable electronics: status and perspectives,2025,0,PEDOT:PSS,tactile sensor,voltage output,robotics/tactile,tactile sensor -> voltage output -> robotics/tactile,PEDOT:PSS -> tactile sensor -> voltage output -> robotics/tactile,4,1,0,1,1,2022-25
P_MS3T_000867,MO_001,Research progress of flexible pressure sensor based on MXene materials,2024,0,MXene,pressure sensor,resistance/conductivity change,health monitoring,pressure sensor -> resistance/conductivity change -> health monitoring,MXene -> pressure sensor -> resistance/conductivity change -> health monitoring,4,1,0,1,1,2022-25
P_MS3T_001138,MO_001,"High-sensitivity, ultrawide linear range, antibacterial textile pressure sensor based on chitosan/MXene hierarchical architecture",2024,0,MXene,pressure sensor,performance metric,motion monitoring,pressure sensor -> performance metric -> motion monitoring,MXene -> pressure sensor -> performance metric -> motion monitoring,4,1,0,1,1,2022-25
P_MS3T_004037,MO_002,Flexible carbon cloth electrode: pioneering the future of electrochemical sensing devices,2025,0,graphene/rGO,biosensor/electrochemical,performance metric,wearable/flexible electronics,biosensor/electrochemical -> performance metric -> wearable/flexible electronics,graphene/rGO -> biosensor/electrochemical -> performance metric -> wearable/flexible electronics,4,1,0,1,1,2022-25
P_MS3T_004037,MO_005,Flexible carbon cloth electrode: pioneering the future of electrochemical sensing devices,2025,0,Au,biosensor/electrochemical,performance metric,wearable/flexible electronics,biosensor/electrochemical -> performance metric -> wearable/flexible electronics,Au -> biosensor/electrochemical -> performance metric -> wearable/flexible electronics,4,1,0,1,1,2022-25
DL1234_0005_10.1002_adma.201703700,MO_001,Large-Area All-Textile Pressure Sensors for Monitoring Human Motion and Physiological Signals,2017,0,CNT,pressure sensor,current signal,health monitoring,pressure sensor -> current signal -> health monitoring,CNT -> pressure sensor -> current signal -> health monitoring,4,0,1,1,1,2010-17
DL1234_0019_10.1002_adfm.202214880,MO_001,"MXene Functionalized, Highly Breathable and Sensitive Pressure Sensors with Multi-Layered Porous Structure",2022,0,MXene,pressure sensor,resistance/conductivity change,health monitoring,pressure sensor -> resistance/conductivity change -> health monitoring,MXene -> pressure sensor -> resistance/conductivity change -> health monitoring,4,0,1,1,1,2022-25
DL1234_0032_10.1002_adma.202203650,MO_001,"High-Stretchability, Ultralow-Hysteresis ConductingPolymer Hydrogel Strain Sensors for Soft Machines",2022,0,hydrogel,strain sensor,resistance/conductivity change,health monitoring,strain sensor -> resistance/conductivity change -> health monitoring,hydrogel -> strain sensor -> resistance/conductivity change -> health monitoring,4,0,1,1,1,2022-25
DL1234_0039_10.1016_j.matt.2025.101992,MO_002,Hydrogel-based pressure sensors for electronic skin systems,2025,0,hydrogel,pressure sensor,capacitance change,health monitoring,pressure sensor -> capacitance change -> health monitoring,hydrogel -> pressure sensor -> capacitance change -> health monitoring,4,0,1,1,1,2022-25
DL1234_0043_10.1002_adhm.201900978,MO_001,Highly Sensitive and Wearable Liquid Metal-Based Pressure Sensor for Health Monitoring Applications: Integration of a 3D-Printed Microbump Array with the Microchannel,2019,0,liquid metal,pressure sensor,resistance/conductivity change,health monitoring,pressure sensor -> resistance/conductivity change -> health monitoring,liquid metal -> pressure sensor -> resistance/conductivity change -> health monitoring,4,0,1,1,1,2018-21
DL1234_0044_10.1016_j.nanoen.2020.105035,MO_001,"Ultra-Stretchable, durable and conductive hydrogel with hybrid double network as high performance strain sensor and stretchable triboelectric nanogenerator",2020,0,hydrogel,strain sensor,resistance/conductivity change,motion monitoring,strain sensor -> resistance/conductivity change -> motion monitoring,hydrogel -> strain sensor -> resistance/conductivity change -> motion monitoring,4,0,1,1,1,2018-21
DL1234_0049_10.1016_j.compscitech.2023.110309,MO_001,"An ultrasensitive flexible strain sensor based on CNC/CNTs/MXene/TPU fibrous mat for human motion, sound and visually personalized rehabilitation training monitoring",2023,0,MXene,strain sensor,resistance/conductivity change,rehabilitation,strain sensor -> resistance/conductivity change -> rehabilitation,MXene -> strain sensor -> resistance/conductivity change -> rehabilitation,4,0,0,1,1,2022-25
DL1234_0052_10.1016_j.compscitech.2018.12.031,MO_001,Synergism of binary carbon nanofibres and graphene nanoplates in improving sensitivity and stability of stretchable strain sensors,2018,0,graphene/rGO,strain sensor,resistance/conductivity change,motion monitoring,strain sensor -> resistance/conductivity change -> motion monitoring,graphene/rGO -> strain sensor -> resistance/conductivity change -> motion monitoring,4,0,1,1,1,2018-21
DL1234_0058_10.1016_j.compscitech.2022.109478,MO_001,A flexible dual-mode pressure sensor with ultra-high sensitivity based on BTO@MWCNTs core-shell nanofibers,2022,0,textile/yarn/fabric,pressure sensor,resistance/conductivity change,health monitoring,pressure sensor -> resistance/conductivity change -> health monitoring,textile/yarn/fabric -> pressure sensor -> resistance/conductivity change -> health monitoring,4,0,1,1,1,2022-25
DL1234_0062_10.1002_adfm.202101696,MO_001,Environment Tolerant Conductive Nanocomposite Organohydrogels as Flexible Strain Sensors and Power Sources for Sustainable Electronics,2021,0,CNT,strain sensor,resistance/conductivity change,self-powered/energy storage,strain sensor -> resistance/conductivity change -> self-powered/energy storage,CNT -> strain sensor -> resistance/conductivity change -> self-powered/energy storage,4,0,1,1,1,2018-21
DL1234_0069_10.1016_j.compscitech.2022.109720,MO_002,"Stretchable strain sensor with high sensitivity, large workable range and excellent breathability for wearable electronic skins",2022,0,PPy/PANI,gas/chemical sensor,resistance/conductivity change,environmental monitoring,gas/chemical sensor -> resistance/conductivity change -> environmental monitoring,PPy/PANI -> gas/chemical sensor -> resistance/conductivity change -> environmental monitoring,4,0,1,1,1,2022-25
DL1234_0088_10.1016_j.snb.2022.132228,MO_001,"Hierarchically buckled Ti3C2Tx MXene/carbon nanotubes strain sensor with improved linearity, sensitivity, and strain range for soft robotics and epidermal monitoring",2022,0,CNT,strain sensor,resistance/conductivity change,motion monitoring,strain sensor -> resistance/conductivity change -> motion monitoring,CNT -> strain sensor -> resistance/conductivity change -> motion monitoring,4,0,1,1,1,2022-25
DL1234_0091_10.1002_adfm.202008006,MO_001,"Lightweight, Superelastic, and Hydrophobic Polyimide Nanofiber /MXene Composite Aerogel for Wearable Piezoresistive Sensor and Oil/Water Separation Applications",2020,0,MXene,pressure sensor,resistance/conductivity change,motion monitoring,pressure sensor -> resistance/conductivity change -> motion monitoring,MXene -> pressure sensor -> resistance/conductivity change -> motion monitoring,4,0,1,1,1,2018-21
DL1234_0095_10.1002_smll.202303981,MO_001,Highly Sensitive Soft Pressure Sensors for Wearable Applications Based on Composite Films with Curved 3D Carbon Nanotube Structures,2023,0,CNT,pressure sensor,resistance/conductivity change,wearable/flexible electronics,pressure sensor -> resistance/conductivity change -> wearable/flexible electronics,CNT -> pressure sensor -> resistance/conductivity change -> wearable/flexible electronics,4,0,1,1,1,2022-25
DL1234_0099_10.1016_j.matt.2019.12.025,MO_001,A Wireless Textile-Based Sensor System for Self-Powered Personalized Health Care,2019,0,Ag/AgNW,triboelectric sensor,voltage output,HMI,triboelectric sensor -> voltage output -> HMI,Ag/AgNW -> triboelectric sensor -> voltage output -> HMI,4,0,0,1,1,2018-21
DL1234_0101_10.1016_j.compscitech.2022.109518,MO_001,MWCNTs/PDMS composite enabled printed flexible omnidirectional strain sensors for wearable electronics,2022,0,PDMS/Ecoflex,strain sensor,resistance/conductivity change,motion monitoring,strain sensor -> resistance/conductivity change -> motion monitoring,PDMS/Ecoflex -> strain sensor -> resistance/conductivity change -> motion monitoring,4,0,0,1,1,2022-25
DL1234_0102_10.1016_j.compscitech.2020.108448,MO_001,Ultra-sensitive and durable strain sensor with sandwich structure and excellent anti-interference ability for wearable electronic skins,2020,0,PDMS/Ecoflex,strain sensor,resistance/conductivity change,motion monitoring,strain sensor -> resistance/conductivity change -> motion monitoring,PDMS/Ecoflex -> strain sensor -> resistance/conductivity change -> motion monitoring,4,0,1,1,1,2018-21
DL1234_0118_10.1002_adfm.201604462,MO_006,Single-Thread-Based Wearable and Highly Stretchable Triboelectric Nanogenerators and Their Applications in Cloth-Based Self-Powered Human-Interactive and Biomedical Sensing,2016,0,silicone/elastomer,triboelectric sensor,voltage output,wireless/IoT,triboelectric sensor -> voltage output -> wireless/IoT,silicone/elastomer -> triboelectric sensor -> voltage output -> wireless/IoT,4,0,0,1,1,2010-17
DL1234_0125_10.1002_adhm.202202461,MO_001,Towards Real-time Blood Pressure Monitoring via High-Fidelity Iontronic Tonometric Sensors with High Sensitivity and Large Dynamic Ranges,2022,0,PVDF,capacitive sensor,capacitance change,wearable/flexible electronics,capacitive sensor -> capacitance change -> wearable/flexible electronics,PVDF -> capacitive sensor -> capacitance change -> wearable/flexible electronics,4,0,0,1,1,2022-25
DL1234_0128_10.1002_adhm.202504778,MO_001,A Wearable Multimodal Sensor for Simultaneous and Co-Located Muscle Electrophysiological and Mechanical Monitoring,2025,0,PVDF,pressure sensor,capacitance change,rehabilitation,pressure sensor -> capacitance change -> rehabilitation,PVDF -> pressure sensor -> capacitance change -> rehabilitation,4,0,1,1,1,2022-25
DL1234_0129_10.1016_j.cej.2023.142576,MO_001,Advances in graphene-based flexible and wearable strain sensors,2023,0,graphene/rGO,strain sensor,resistance/conductivity change,health monitoring,strain sensor -> resistance/conductivity change -> health monitoring,graphene/rGO -> strain sensor -> resistance/conductivity change -> health monitoring,4,0,1,1,1,2022-25
DL1234_0129_10.1016_j.cej.2023.142576,MO_003,Advances in graphene-based flexible and wearable strain sensors,2023,0,graphene/rGO,strain sensor,resistance/conductivity change,wearable/flexible electronics,strain sensor -> resistance/conductivity change -> wearable/flexible electronics,graphene/rGO -> strain sensor -> resistance/conductivity change -> wearable/flexible electronics,4,0,1,1,1,2022-25
DL1234_0135_10.1016_j.cej.2024.149926,MO_006,Progress and challenges in flexible capacitive pressure sensors: Microstructure designs and applications,2024,0,silicone/elastomer,pressure sensor,capacitance change,motion monitoring,pressure sensor -> capacitance change -> motion monitoring,silicone/elastomer -> pressure sensor -> capacitance change -> motion monitoring,4,0,0,1,1,2022-25
DL1234_0139_10.1016_j.nanoen.2022.107768,MO_001,"Flexible, stretchable, breathable and sweatproof all-nanofiber iontronic tactile sensor for continuous and comfortable knee joint motion monitoring",2022,0,Ag/AgNW,tactile sensor,capacitance change,wearable/flexible electronics,tactile sensor -> capacitance change -> wearable/flexible electronics,Ag/AgNW -> tactile sensor -> capacitance change -> wearable/flexible electronics,4,0,0,1,1,2022-25
DL1234_0156_10.1016_j.nanoen.2021.106031,MO_001,Wearable biosensor for sensitive detection of uric acid in artificial sweat enabled by a fiber structured sensing interface,2021,0,textile/yarn/fabric,gas/chemical sensor,current signal,health monitoring,gas/chemical sensor -> current signal -> health monitoring,textile/yarn/fabric -> gas/chemical sensor -> current signal -> health monitoring,4,0,1,1,1,2018-21
DL1234_0157_10.1016_j.bios.2024.116790,MO_001,Enhancing cardiovascular health monitoring: Simultaneous multi-artery cardiac markers recording with flexible and bio-compatible AlN piezoelectric sensors,2024,0,polymer/elastomer,piezoelectric sensor,voltage output,health monitoring,piezoelectric sensor -> voltage output -> health monitoring,polymer/elastomer -> piezoelectric sensor -> voltage output -> health monitoring,4,0,0,1,1,2022-25
DL1234_0162_10.1016_j.cej.2022.139716,MO_001,Waterproof conductive fiber with microcracked synergistic conductive layer for high-performance tunable wearable strain sensor,2022,0,textile/yarn/fabric,strain sensor,resistance/conductivity change,health monitoring,strain sensor -> resistance/conductivity change -> health monitoring,textile/yarn/fabric -> strain sensor -> resistance/conductivity change -> health monitoring,4,0,1,1,1,2022-25
DL1234_0165_10.1016_j.compscitech.2016.12.014,MO_001,The effect of filler dimensionality on the electromechanical performance of polydimethylsiloxane based conductive nanocomposites for flexible strain sensors,2016,0,PDMS/Ecoflex,strain sensor,resistance/conductivity change,motion monitoring,strain sensor -> resistance/conductivity change -> motion monitoring,PDMS/Ecoflex -> strain sensor -> resistance/conductivity change -> motion monitoring,4,0,1,1,1,2010-17
DL1234_0188_10.1016_j.nanoen.2019.02.036,MO_001,A Universal high accuracy wearable pulse monitoring system via high sensitivity and large linearity graphene pressure sensor,2019,0,graphene/rGO,pressure sensor,current signal,health monitoring,pressure sensor -> current signal -> health monitoring,graphene/rGO -> pressure sensor -> current signal -> health monitoring,4,0,0,1,1,2018-21
DL1234_0198_10.1016_j.matt.2024.10.003,MO_004,Graphene-modified hydrogels for bioelectronic interface,2024,0,graphene/rGO,strain sensor,resistance/conductivity change,HMI,strain sensor -> resistance/conductivity change -> HMI,graphene/rGO -> strain sensor -> resistance/conductivity change -> HMI,4,0,1,1,1,2022-25
DL1234_0213_10.1016_j.cej.2022.139898,MO_001,"Smart wearable band-aid integrated with high-performance micro-supercapacitor, humidity and pressure sensor for multifunctional monitoring",2022,0,cellulose/cotton/silk,electrode,capacitance change,wearable/flexible electronics,electrode -> capacitance change -> wearable/flexible electronics,cellulose/cotton/silk -> electrode -> capacitance change -> wearable/flexible electronics,4,0,1,1,1,2022-25
