cutoff,method,rank,trajectory,material,sensor,signal,system,ranking_score,closed_in_future,validated_closure
2018,role_agnostic,36,Au -> electrode -> capacitance change -> wearable/flexible electronics,Au,electrode,capacitance change,wearable/flexible electronics,0.9961334512,0,0
2018,role_agnostic,37,graphene/rGO -> pressure sensor -> capacitance change -> wearable/flexible electronics,graphene/rGO,pressure sensor,capacitance change,wearable/flexible electronics,0.9960229783,1,1
2018,role_agnostic,38,Ag/AgNW -> electrode -> resistance/conductivity change -> environmental monitoring,Ag/AgNW,electrode,resistance/conductivity change,environmental monitoring,0.9959125055,0,0
2018,role_agnostic,39,Ag/AgNW -> gas/chemical sensor -> resistance/conductivity change -> wearable/flexible electronics,Ag/AgNW,gas/chemical sensor,resistance/conductivity change,wearable/flexible electronics,0.9958020327,0,0
2018,role_agnostic,40,Cu/Ni -> electrode -> resistance/conductivity change -> health monitoring,Cu/Ni,electrode,resistance/conductivity change,health monitoring,0.9956915599,0,0
2018,role_agnostic,41,textile/yarn/fabric -> strain sensor -> resistance/conductivity change -> environmental monitoring,textile/yarn/fabric,strain sensor,resistance/conductivity change,environmental monitoring,0.9955810871,0,0
2018,role_agnostic,42,Ag/AgNW -> strain sensor -> resistance/conductivity change -> wireless/IoT,Ag/AgNW,strain sensor,resistance/conductivity change,wireless/IoT,0.9954706142,1,1
2018,role_agnostic,43,graphene/rGO -> pressure sensor -> resistance/conductivity change -> environmental monitoring,graphene/rGO,pressure sensor,resistance/conductivity change,environmental monitoring,0.9953601414,0,0
2018,role_agnostic,44,graphene/rGO -> resistive sensor -> resistance/conductivity change -> health monitoring,graphene/rGO,resistive sensor,resistance/conductivity change,health monitoring,0.9952496686,0,0
2018,role_agnostic,45,textile/yarn/fabric -> electrode -> physiological signal -> wearable/flexible electronics,textile/yarn/fabric,electrode,physiological signal,wearable/flexible electronics,0.9951391958,0,0
2018,role_agnostic,46,Au -> electrode -> resistance/conductivity change -> motion monitoring,Au,electrode,resistance/conductivity change,motion monitoring,0.9950287229,0,0
2018,role_agnostic,47,textile/yarn/fabric -> temperature sensor -> resistance/conductivity change -> health monitoring,textile/yarn/fabric,temperature sensor,resistance/conductivity change,health monitoring,0.9949182501,0,0
2018,role_agnostic,48,graphene/rGO -> strain sensor -> current signal -> health monitoring,graphene/rGO,strain sensor,current signal,health monitoring,0.9948077773,0,0
2018,role_agnostic,49,graphene/rGO -> pressure sensor -> capacitance change -> health monitoring,graphene/rGO,pressure sensor,capacitance change,health monitoring,0.9946973045,0,0
2018,role_agnostic,50,PEDOT:PSS -> strain sensor -> resistance/conductivity change -> wearable/flexible electronics,PEDOT:PSS,strain sensor,resistance/conductivity change,wearable/flexible electronics,0.9945868316,0,0
2018,role_agnostic,51,textile/yarn/fabric -> electrode -> resistance/conductivity change -> environmental monitoring,textile/yarn/fabric,electrode,resistance/conductivity change,environmental monitoring,0.9944763588,0,0
2018,role_agnostic,52,textile/yarn/fabric -> electrode -> current signal -> wearable/flexible electronics,textile/yarn/fabric,electrode,current signal,wearable/flexible electronics,0.994365886,0,0
2018,role_agnostic,53,PEDOT:PSS -> strain sensor -> resistance/conductivity change -> health monitoring,PEDOT:PSS,strain sensor,resistance/conductivity change,health monitoring,0.9942554132,1,0
2018,role_agnostic,54,graphene/rGO -> electrode -> voltage output -> health monitoring,graphene/rGO,electrode,voltage output,health monitoring,0.9941449403,0,0
2018,role_agnostic,55,graphene/rGO -> strain sensor -> resistance/conductivity change -> self-powered/energy storage,graphene/rGO,strain sensor,resistance/conductivity change,self-powered/energy storage,0.9940344675,0,0
2018,role_agnostic,56,Au -> temperature sensor -> resistance/conductivity change -> wearable/flexible electronics,Au,temperature sensor,resistance/conductivity change,wearable/flexible electronics,0.9939239947,0,0
2018,role_agnostic,57,PDMS/Ecoflex -> strain sensor -> resistance/conductivity change -> wearable/flexible electronics,PDMS/Ecoflex,strain sensor,resistance/conductivity change,wearable/flexible electronics,0.9938135219,1,0
2018,role_agnostic,58,textile/yarn/fabric -> strain sensor -> resistance/conductivity change -> wireless/IoT,textile/yarn/fabric,strain sensor,resistance/conductivity change,wireless/IoT,0.993703049,0,0
2018,role_agnostic,59,graphene/rGO -> resistive sensor -> resistance/conductivity change -> motion monitoring,graphene/rGO,resistive sensor,resistance/conductivity change,motion monitoring,0.9935925762,1,1
2018,role_agnostic,60,Cu/Ni -> electrode -> voltage output -> wearable/flexible electronics,Cu/Ni,electrode,voltage output,wearable/flexible electronics,0.9934821034,0,0
2018,role_agnostic,61,CNT -> gas/chemical sensor -> resistance/conductivity change -> health monitoring,CNT,gas/chemical sensor,resistance/conductivity change,health monitoring,0.9933716306,0,0
2018,role_agnostic,62,CNT -> strain sensor -> resistance/conductivity change -> robotics/tactile,CNT,strain sensor,resistance/conductivity change,robotics/tactile,0.9932611578,0,0
2018,role_agnostic,63,Ag/AgNW -> electrode -> physiological signal -> wearable/flexible electronics,Ag/AgNW,electrode,physiological signal,wearable/flexible electronics,0.9931506849,0,0
2018,role_agnostic,64,textile/yarn/fabric -> gas/chemical sensor -> resistance/conductivity change -> health monitoring,textile/yarn/fabric,gas/chemical sensor,resistance/conductivity change,health monitoring,0.9930402121,0,0
2018,role_agnostic,65,textile/yarn/fabric -> electrode -> resistance/conductivity change -> wireless/IoT,textile/yarn/fabric,electrode,resistance/conductivity change,wireless/IoT,0.9929297393,0,0
2018,role_agnostic,66,CNT -> strain sensor -> resistance/conductivity change -> wireless/IoT,CNT,strain sensor,resistance/conductivity change,wireless/IoT,0.9928192665,1,1
2018,role_agnostic,67,Ag/AgNW -> temperature sensor -> resistance/conductivity change -> health monitoring,Ag/AgNW,temperature sensor,resistance/conductivity change,health monitoring,0.9927087936,0,0
2018,role_agnostic,68,PEDOT:PSS -> strain sensor -> resistance/conductivity change -> motion monitoring,PEDOT:PSS,strain sensor,resistance/conductivity change,motion monitoring,0.9925983208,1,1
2018,role_agnostic,69,ZnO/oxide -> strain sensor -> resistance/conductivity change -> health monitoring,ZnO/oxide,strain sensor,resistance/conductivity change,health monitoring,0.992487848,0,0
2018,role_agnostic,70,Ag/AgNW -> resistive sensor -> resistance/conductivity change -> wearable/flexible electronics,Ag/AgNW,resistive sensor,resistance/conductivity change,wearable/flexible electronics,0.9923773752,1,0
2018,role_agnostic,71,textile/yarn/fabric -> gas/chemical sensor -> resistance/conductivity change -> motion monitoring,textile/yarn/fabric,gas/chemical sensor,resistance/conductivity change,motion monitoring,0.9922669023,0,0
2018,role_agnostic,72,CNT -> strain sensor -> voltage output -> motion monitoring,CNT,strain sensor,voltage output,motion monitoring,0.9921564295,0,0
2018,role_agnostic,73,graphene/rGO -> strain sensor -> current signal -> wearable/flexible electronics,graphene/rGO,strain sensor,current signal,wearable/flexible electronics,0.9920459567,0,0
2018,role_agnostic,74,textile/yarn/fabric -> strain sensor -> mechanical deformation -> motion monitoring,textile/yarn/fabric,strain sensor,mechanical deformation,motion monitoring,0.9919354839,0,0
2018,role_agnostic,75,graphene/rGO -> strain sensor -> resistance/conductivity change -> wireless/IoT,graphene/rGO,strain sensor,resistance/conductivity change,wireless/IoT,0.991825011,0,0
2018,role_agnostic,76,graphene/rGO -> temperature sensor -> resistance/conductivity change -> environmental monitoring,graphene/rGO,temperature sensor,resistance/conductivity change,environmental monitoring,0.9917145382,1,0
2018,role_agnostic,77,graphene/rGO -> strain sensor -> capacitance change -> wearable/flexible electronics,graphene/rGO,strain sensor,capacitance change,wearable/flexible electronics,0.9916040654,0,0
2018,role_agnostic,78,CNT -> electrode -> resistance/conductivity change -> wireless/IoT,CNT,electrode,resistance/conductivity change,wireless/IoT,0.9914935926,0,0
2018,role_agnostic,79,CNT -> gas/chemical sensor -> resistance/conductivity change -> motion monitoring,CNT,gas/chemical sensor,resistance/conductivity change,motion monitoring,0.9913831198,0,0
2018,role_agnostic,80,graphene/rGO -> electrode -> resistance/conductivity change -> robotics/tactile,graphene/rGO,electrode,resistance/conductivity change,robotics/tactile,0.9912726469,0,0
2018,role_agnostic,81,CNT -> resistive sensor -> resistance/conductivity change -> wearable/flexible electronics,CNT,resistive sensor,resistance/conductivity change,wearable/flexible electronics,0.9911621741,1,1
2018,role_agnostic,82,graphene/rGO -> tactile sensor -> resistance/conductivity change -> wearable/flexible electronics,graphene/rGO,tactile sensor,resistance/conductivity change,wearable/flexible electronics,0.9910517013,0,0
2018,role_agnostic,83,Au -> electrode -> current signal -> wearable/flexible electronics,Au,electrode,current signal,wearable/flexible electronics,0.9909412285,1,1
2018,role_agnostic,84,graphene/rGO -> temperature sensor -> resistance/conductivity change -> motion monitoring,graphene/rGO,temperature sensor,resistance/conductivity change,motion monitoring,0.9908307556,0,0
2018,role_agnostic,85,silicone/elastomer -> strain sensor -> resistance/conductivity change -> motion monitoring,silicone/elastomer,strain sensor,resistance/conductivity change,motion monitoring,0.9907202828,1,1
2018,role_agnostic,86,PEDOT:PSS -> electrode -> resistance/conductivity change -> health monitoring,PEDOT:PSS,electrode,resistance/conductivity change,health monitoring,0.99060981,1,1
2018,role_agnostic,87,CNT -> strain sensor -> voltage output -> wearable/flexible electronics,CNT,strain sensor,voltage output,wearable/flexible electronics,0.9904993372,0,0
2018,role_agnostic,88,textile/yarn/fabric -> electrode -> voltage output -> health monitoring,textile/yarn/fabric,electrode,voltage output,health monitoring,0.9903888643,0,0
2018,role_agnostic,89,graphene/rGO -> electrode -> capacitance change -> motion monitoring,graphene/rGO,electrode,capacitance change,motion monitoring,0.9902783915,1,0
2018,role_agnostic,90,textile/yarn/fabric -> strain sensor -> resistance/conductivity change -> robotics/tactile,textile/yarn/fabric,strain sensor,resistance/conductivity change,robotics/tactile,0.9901679187,0,0
2018,role_agnostic,91,graphene/rGO -> pressure sensor -> resistance/conductivity change -> robotics/tactile,graphene/rGO,pressure sensor,resistance/conductivity change,robotics/tactile,0.9900574459,0,0
2018,role_agnostic,92,textile/yarn/fabric -> electrode -> capacitance change -> health monitoring,textile/yarn/fabric,electrode,capacitance change,health monitoring,0.989946973,0,0
2018,role_agnostic,93,textile/yarn/fabric -> strain sensor -> voltage output -> motion monitoring,textile/yarn/fabric,strain sensor,voltage output,motion monitoring,0.9898365002,0,0
2018,role_agnostic,94,Au -> strain sensor -> resistance/conductivity change -> environmental monitoring,Au,strain sensor,resistance/conductivity change,environmental monitoring,0.9897260274,0,0
2018,role_agnostic,95,PPy/PANI -> strain sensor -> resistance/conductivity change -> wearable/flexible electronics,PPy/PANI,strain sensor,resistance/conductivity change,wearable/flexible electronics,0.9896155546,0,0
2018,role_agnostic,96,hydrogel -> strain sensor -> resistance/conductivity change -> wearable/flexible electronics,hydrogel,strain sensor,resistance/conductivity change,wearable/flexible electronics,0.9895050817,1,1
2018,role_agnostic,97,graphene/rGO -> pressure sensor -> voltage output -> health monitoring,graphene/rGO,pressure sensor,voltage output,health monitoring,0.9893946089,0,0
2018,role_agnostic,98,CNT -> electrode -> capacitance change -> health monitoring,CNT,electrode,capacitance change,health monitoring,0.9892841361,0,0
2018,role_agnostic,99,CNT -> electrode -> resistance/conductivity change -> self-powered/energy storage,CNT,electrode,resistance/conductivity change,self-powered/energy storage,0.9891736633,0,0
2018,role_agnostic,100,Ag/AgNW -> strain sensor -> voltage output -> motion monitoring,Ag/AgNW,strain sensor,voltage output,motion monitoring,0.9890631905,0,0
2018,typed_structure,1,graphene/rGO -> electrode -> resistance/conductivity change -> health monitoring,graphene/rGO,electrode,resistance/conductivity change,health monitoring,0.9873398144,0,0
2018,typed_structure,2,textile/yarn/fabric -> strain sensor -> resistance/conductivity change -> wearable/flexible electronics,textile/yarn/fabric,strain sensor,resistance/conductivity change,wearable/flexible electronics,0.9866051701,1,0
2018,typed_structure,3,CNT -> electrode -> resistance/conductivity change -> wearable/flexible electronics,CNT,electrode,resistance/conductivity change,wearable/flexible electronics,0.9859230005,1,1
2018,typed_structure,4,graphene/rGO -> pressure sensor -> resistance/conductivity change -> wearable/flexible electronics,graphene/rGO,pressure sensor,resistance/conductivity change,wearable/flexible electronics,0.9856136766,1,1
2018,typed_structure,5,graphene/rGO -> electrode -> resistance/conductivity change -> motion monitoring,graphene/rGO,electrode,resistance/conductivity change,motion monitoring,0.9853899691,1,1
2018,typed_structure,6,CNT -> electrode -> resistance/conductivity change -> health monitoring,CNT,electrode,resistance/conductivity change,health monitoring,0.9849066504,1,1
2018,typed_structure,7,graphene/rGO -> gas/chemical sensor -> resistance/conductivity change -> health monitoring,graphene/rGO,gas/chemical sensor,resistance/conductivity change,health monitoring,0.9834594565,0,0
2018,typed_structure,8,textile/yarn/fabric -> electrode -> resistance/conductivity change -> health monitoring,textile/yarn/fabric,electrode,resistance/conductivity change,health monitoring,0.9834318382,0,0
2018,typed_structure,9,Ag/AgNW -> electrode -> resistance/conductivity change -> health monitoring,Ag/AgNW,electrode,resistance/conductivity change,health monitoring,0.9828877596,0,0
2018,typed_structure,10,graphene/rGO -> electrode -> voltage output -> wearable/flexible electronics,graphene/rGO,electrode,voltage output,wearable/flexible electronics,0.9808440124,1,1
2018,typed_structure,11,CNT -> electrode -> resistance/conductivity change -> motion monitoring,CNT,electrode,resistance/conductivity change,motion monitoring,0.9807998233,1,1
2018,typed_structure,12,Au -> strain sensor -> resistance/conductivity change -> wearable/flexible electronics,Au,strain sensor,resistance/conductivity change,wearable/flexible electronics,0.9807804905,1,0
2018,typed_structure,13,graphene/rGO -> strain sensor -> resistance/conductivity change -> environmental monitoring,graphene/rGO,strain sensor,resistance/conductivity change,environmental monitoring,0.9807804905,0,0
2018,typed_structure,14,Ag/AgNW -> pressure sensor -> resistance/conductivity change -> motion monitoring,Ag/AgNW,pressure sensor,resistance/conductivity change,motion monitoring,0.9806230667,1,1
2018,typed_structure,15,textile/yarn/fabric -> pressure sensor -> resistance/conductivity change -> wearable/flexible electronics,textile/yarn/fabric,pressure sensor,resistance/conductivity change,wearable/flexible electronics,0.9804932612,1,1
2018,typed_structure,16,textile/yarn/fabric -> electrode -> capacitance change -> wearable/flexible electronics,textile/yarn/fabric,electrode,capacitance change,wearable/flexible electronics,0.980125939,0,0
2018,typed_structure,17,Cu/Ni -> electrode -> resistance/conductivity change -> wearable/flexible electronics,Cu/Ni,electrode,resistance/conductivity change,wearable/flexible electronics,0.9799381352,0,0
2018,typed_structure,18,graphene/rGO -> gas/chemical sensor -> resistance/conductivity change -> motion monitoring,graphene/rGO,gas/chemical sensor,resistance/conductivity change,motion monitoring,0.9796205259,1,1
2018,typed_structure,19,textile/yarn/fabric -> gas/chemical sensor -> resistance/conductivity change -> wearable/flexible electronics,textile/yarn/fabric,gas/chemical sensor,resistance/conductivity change,wearable/flexible electronics,0.9789355944,0,0
2018,typed_structure,20,textile/yarn/fabric -> pressure sensor -> resistance/conductivity change -> motion monitoring,textile/yarn/fabric,pressure sensor,resistance/conductivity change,motion monitoring,0.978648365,0,0
2018,typed_structure,21,CNT -> pressure sensor -> resistance/conductivity change -> health monitoring,CNT,pressure sensor,resistance/conductivity change,health monitoring,0.9786400795,1,1
2018,typed_structure,22,Au -> electrode -> resistance/conductivity change -> health monitoring,Au,electrode,resistance/conductivity change,health monitoring,0.9786262705,0,0
2018,typed_structure,23,Ag/AgNW -> electrode -> capacitance change -> wearable/flexible electronics,Ag/AgNW,electrode,capacitance change,wearable/flexible electronics,0.9782755192,0,0
2018,typed_structure,24,graphene/rGO -> electrode -> current signal -> wearable/flexible electronics,graphene/rGO,electrode,current signal,wearable/flexible electronics,0.9781567609,1,1
2018,typed_structure,25,CNT -> pressure sensor -> resistance/conductivity change -> motion monitoring,CNT,pressure sensor,resistance/conductivity change,motion monitoring,0.9780904773,0,0
2018,typed_structure,26,Au -> pressure sensor -> resistance/conductivity change -> wearable/flexible electronics,Au,pressure sensor,resistance/conductivity change,wearable/flexible electronics,0.9780407645,1,1
2018,typed_structure,27,graphene/rGO -> electrode -> capacitance change -> health monitoring,graphene/rGO,electrode,capacitance change,health monitoring,0.9769636544,0,0
2018,typed_structure,28,Au -> electrode -> capacitance change -> wearable/flexible electronics,Au,electrode,capacitance change,wearable/flexible electronics,0.9767924216,0,0
2018,typed_structure,29,textile/yarn/fabric -> electrode -> resistance/conductivity change -> motion monitoring,textile/yarn/fabric,electrode,resistance/conductivity change,motion monitoring,0.9764361467,0,0
2018,typed_structure,30,Ag/AgNW -> temperature sensor -> resistance/conductivity change -> wearable/flexible electronics,Ag/AgNW,temperature sensor,resistance/conductivity change,wearable/flexible electronics,0.9763505303,1,1
2018,typed_structure,31,textile/yarn/fabric -> electrode -> voltage output -> wearable/flexible electronics,textile/yarn/fabric,electrode,voltage output,wearable/flexible electronics,0.9762400574,0,0
2018,typed_structure,32,graphene/rGO -> pressure sensor -> capacitance change -> wearable/flexible electronics,graphene/rGO,pressure sensor,capacitance change,wearable/flexible electronics,0.9760605391,1,1
2018,typed_structure,33,Ag/AgNW -> strain sensor -> resistance/conductivity change -> wireless/IoT,Ag/AgNW,strain sensor,resistance/conductivity change,wireless/IoT,0.9738787009,1,1
2018,typed_structure,34,CNT -> gas/chemical sensor -> resistance/conductivity change -> wearable/flexible electronics,CNT,gas/chemical sensor,resistance/conductivity change,wearable/flexible electronics,0.9737047062,0,0
2018,typed_structure,35,Cu/Ni -> electrode -> resistance/conductivity change -> health monitoring,Cu/Ni,electrode,resistance/conductivity change,health monitoring,0.9734312859,0,0
2018,typed_structure,36,graphene/rGO -> electrode -> voltage output -> health monitoring,graphene/rGO,electrode,voltage output,health monitoring,0.9731468184,0,0
2018,typed_structure,37,Cu/Ni -> strain sensor -> resistance/conductivity change -> motion monitoring,Cu/Ni,strain sensor,resistance/conductivity change,motion monitoring,0.9730501547,1,1
2018,typed_structure,38,graphene/rGO -> pressure sensor -> resistance/conductivity change -> environmental monitoring,graphene/rGO,pressure sensor,resistance/conductivity change,environmental monitoring,0.9728623508,0,0
2018,typed_structure,39,graphene/rGO -> temperature sensor -> resistance/conductivity change -> wearable/flexible electronics,graphene/rGO,temperature sensor,resistance/conductivity change,wearable/flexible electronics,0.9726690234,1,1
2018,typed_structure,40,Ag/AgNW -> electrode -> resistance/conductivity change -> environmental monitoring,Ag/AgNW,electrode,resistance/conductivity change,environmental monitoring,0.9716388644,0,0
2018,typed_structure,41,textile/yarn/fabric -> temperature sensor -> resistance/conductivity change -> health monitoring,textile/yarn/fabric,temperature sensor,resistance/conductivity change,health monitoring,0.971506297,0,0
2018,typed_structure,42,Cu/Ni -> electrode -> voltage output -> wearable/flexible electronics,Cu/Ni,electrode,voltage output,wearable/flexible electronics,0.9711168803,0,0
2018,typed_structure,43,textile/yarn/fabric -> electrode -> resistance/conductivity change -> wireless/IoT,textile/yarn/fabric,electrode,resistance/conductivity change,wireless/IoT,0.9709484092,0,0
2018,typed_structure,44,CNT -> electrode -> resistance/conductivity change -> wireless/IoT,CNT,electrode,resistance/conductivity change,wireless/IoT,0.9703021432,0,0
2018,typed_structure,45,textile/yarn/fabric -> electrode -> voltage output -> health monitoring,textile/yarn/fabric,electrode,voltage output,health monitoring,0.9686809545,0,0
2018,typed_structure,46,Ag/AgNW -> temperature sensor -> resistance/conductivity change -> health monitoring,Ag/AgNW,temperature sensor,resistance/conductivity change,health monitoring,0.9686367654,0,0
2018,typed_structure,47,textile/yarn/fabric -> electrode -> current signal -> wearable/flexible electronics,textile/yarn/fabric,electrode,current signal,wearable/flexible electronics,0.9684682943,0,0
2018,typed_structure,48,textile/yarn/fabric -> electrode -> resistance/conductivity change -> environmental monitoring,textile/yarn/fabric,electrode,resistance/conductivity change,environmental monitoring,0.9676784136,0,0
2018,typed_structure,49,graphene/rGO -> electrode -> resistance/conductivity change -> robotics/tactile,graphene/rGO,electrode,resistance/conductivity change,robotics/tactile,0.9673387097,0,0
2018,typed_structure,50,textile/yarn/fabric -> electrode -> capacitance change -> health monitoring,textile/yarn/fabric,electrode,capacitance change,health monitoring,0.9672613787,0,0
2018,typed_structure,51,textile/yarn/fabric -> gas/chemical sensor -> resistance/conductivity change -> health monitoring,textile/yarn/fabric,gas/chemical sensor,resistance/conductivity change,health monitoring,0.9671370968,0,0
2018,typed_structure,52,Au -> electrode -> current signal -> wearable/flexible electronics,Au,electrode,current signal,wearable/flexible electronics,0.9669271984,1,1
2018,typed_structure,53,textile/yarn/fabric -> strain sensor -> resistance/conductivity change -> wireless/IoT,textile/yarn/fabric,strain sensor,resistance/conductivity change,wireless/IoT,0.9668802475,0,0
2018,typed_structure,54,graphene/rGO -> pressure sensor -> resistance/conductivity change -> robotics/tactile,graphene/rGO,pressure sensor,resistance/conductivity change,robotics/tactile,0.9667670128,0,0
2018,typed_structure,55,CNT -> electrode -> capacitance change -> health monitoring,CNT,electrode,capacitance change,health monitoring,0.9662312196,0,0
2018,typed_structure,56,graphene/rGO -> resistive sensor -> resistance/conductivity change -> wearable/flexible electronics,graphene/rGO,resistive sensor,resistance/conductivity change,wearable/flexible electronics,0.9661732214,0,0
2018,typed_structure,57,CNT -> gas/chemical sensor -> resistance/conductivity change -> health monitoring,CNT,gas/chemical sensor,resistance/conductivity change,health monitoring,0.9661262704,0,0
2018,typed_structure,58,graphene/rGO -> strain sensor -> resistance/conductivity change -> self-powered/energy storage,graphene/rGO,strain sensor,resistance/conductivity change,self-powered/energy storage,0.9660627485,0,0
2018,typed_structure,59,graphene/rGO -> electrode -> capacitance change -> motion monitoring,graphene/rGO,electrode,capacitance change,motion monitoring,0.9656788555,1,0
